Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_8_29,VGND,li1,20.7000,32.6400,0.000014
FILLER_8_22,VGND,li1,16.1000,32.6400,0.000016
FILLER_8_10,VGND,li1,12.8800,32.6400,0.000017
FILLER_7_25,VGND,li1,18.4000,32.6400,0.000015
FILLER_7_13,VGND,li1,11.9600,32.6400,0.000018
FILLER_7_3,VGND,li1,7.3600,32.6400,0.000019
FILLER_6_16,VGND,li1,15.6400,27.2000,0.000005
FILLER_5_38,VGND,li1,23.4600,27.2000,0.000003
FILLER_5_32,VGND,li1,20.9300,27.2000,0.000004
FILLER_5_24,VGND,li1,18.4000,27.2000,0.000004
FILLER_4_50,VGND,li1,28.9800,21.7600,0.000002
FILLER_4_41,VGND,li1,25.0700,21.7600,0.000002
FILLER_4_29,VGND,li1,21.6200,21.7600,0.000002
FILLER_4_25,VGND,li1,17.7100,21.7600,0.000003
FILLER_4_13,VGND,li1,14.2600,21.7600,0.000004
FILLER_4_9,VGND,li1,9.8900,21.7600,0.000004
FILLER_3_34,VGND,li1,23.9200,21.7600,0.000002
FILLER_3_22,VGND,li1,18.4000,21.7600,0.000003
FILLER_2_29,VGND,li1,19.5500,16.3200,0.000007
FILLER_2_3,VGND,li1,7.1300,16.3200,0.000008
FILLER_1_54,VGND,li1,30.5900,16.3200,0.000006
FILLER_1_29,VGND,li1,19.7800,16.3200,0.000007
FILLER_1_3,VGND,li1,7.1300,16.3200,0.000008
FILLER_0_29,VGND,li1,19.3200,10.8800,0.000009
FILLER_0_20,VGND,li1,15.6400,10.8800,0.000009
FILLER_0_6,VGND,li1,8.7400,10.8800,0.000010
output26,VGND,li1,24.3800,32.6400,0.000013
output25,VGND,li1,28.0600,32.6400,0.000012
output24,VGND,li1,17.4800,32.6400,0.000016
output23,VGND,li1,7.8200,32.6400,0.000019
output22,VGND,li1,17.4800,10.8800,0.000009
output21,VGND,li1,20.7000,10.8800,0.000009
output20,VGND,li1,29.9000,16.3200,0.000006
output19,VGND,li1,29.9000,10.8800,0.000007
output18,VGND,li1,29.9000,32.6400,0.000012
