Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_10_57,VGND,li1,33.5800,38.0800,0.000025
FILLER_10_48,VGND,li1,29.4400,38.0800,0.000023
FILLER_10_41,VGND,li1,24.6100,38.0800,0.000020
FILLER_10_29,VGND,li1,21.6200,38.0800,0.000024
FILLER_10_27,VGND,li1,18.1700,38.0800,0.000026
FILLER_10_15,VGND,li1,13.8000,38.0800,0.000030
FILLER_10_3,VGND,li1,9.6600,38.0800,0.000032
FILLER_9_57,VGND,li1,31.9700,38.0800,0.000024
FILLER_9_52,VGND,li1,30.3600,38.0800,0.000023
FILLER_9_36,VGND,li1,22.7700,38.0800,0.000022
FILLER_9_15,VGND,li1,12.6500,38.0800,0.000030
FILLER_9_7,VGND,li1,10.5800,38.0800,0.000032
FILLER_8_41,VGND,li1,24.6100,32.6400,0.000019
FILLER_8_37,VGND,li1,23.4600,32.6400,0.000019
FILLER_8_29,VGND,li1,19.3200,32.6400,0.000024
FILLER_8_24,VGND,li1,17.4800,32.6400,0.000027
FILLER_8_20,VGND,li1,14.9500,32.6400,0.000029
FILLER_8_14,VGND,li1,13.3400,32.6400,0.000029
FILLER_8_3,VGND,li1,7.1300,32.6400,0.000033
FILLER_7_54,VGND,li1,30.8200,32.6400,0.000023
FILLER_7_41,VGND,li1,24.8400,32.6400,0.000019
FILLER_7_33,VGND,li1,22.5400,32.6400,0.000022
FILLER_7_27,VGND,li1,18.4000,32.6400,0.000024
FILLER_6_29,VGND,li1,19.5500,27.2000,0.000057
FILLER_6_22,VGND,li1,17.0200,27.2000,0.000062
FILLER_6_15,VGND,li1,13.3400,27.2000,0.000064
FILLER_6_3,VGND,li1,7.1300,27.2000,0.000065
FILLER_5_64,VGND,li1,35.1900,27.2000,0.000060
FILLER_5_15,VGND,li1,12.6500,27.2000,0.000064
FILLER_5_6,VGND,li1,9.2000,27.2000,0.000065
FILLER_4_44,VGND,li1,25.9900,21.7600,0.000038
FILLER_4_23,VGND,li1,16.5600,21.7600,0.000054
FILLER_3_55,VGND,li1,31.0500,21.7600,0.000040
FILLER_3_11,VGND,li1,10.8100,21.7600,0.000063
FILLER_3_7,VGND,li1,8.9700,21.7600,0.000063
FILLER_3_3,VGND,li1,7.8200,21.7600,0.000063
