net,length_um
wr_data[12],39.54µm
_245_,39.32µm
net274,39.02µm
net598,38.88µm
net420,38.68µm
net652,38.64µm
net628,38.48µm
net392,38.4µm
net417,38.2µm
net22,38.18µm
net71,37.9µm
net609,37.86µm
_148_,37.85µm
net424,37.84µm
net545,37.82µm
net13,37.76µm
wr_data[13],37.7µm
wr_data[9],37.7µm
net416,37.64µm
dout0_q\[3\],37.62µm
net566,37.48µm
net275,37.34µm
net486,37.34µm
net632,37.19µm
net606,36.98µm
net538,36.94µm
wr_data[8],36.78µm
net640,36.6µm
net385,36.54µm
net657,36.45µm
_055_,36.33µm
net37,36.28µm
net301,36.04µm
wr_data[4],35.4µm
net539,35.28µm
net621,35.12µm
dout0\[16\],35.11µm
net659,34.99µm
_135_,34.96µm
net42,34.92µm
net293,34.9µm
net582,34.8µm
net462,34.68µm
net43,34.58µm
net629,34.55µm
net390,34.26µm
net450,34.24µm
net637,34.01µm
net649,34.01µm
net487,33.98µm
net546,33.92µm
net74,33.91µm
net643,33.69µm
net73,33.64µm
_056_,33.61µm
wr_data[19],33.56µm
net173,33.46µm
net47,33.44µm
net645,33.41µm
net410,32.96µm
net95,32.88µm
net627,32.82µm
net107,32.785µm
net647,32.73µm
net639,32.62µm
dout0\[18\],32.56µm
wr_data[7],32.56µm
net1,32.54µm
_161_,32.23µm
net600,32.2µm
net421,32.12µm
net635,32.09µm
net6,31.76µm
wr_data[18],31.72µm
net313,31.64µm
net607,31.38µm
net631,31.37µm
net389,31.28µm
net662,31.27µm
net656,31.23µm
_053_,30.92µm
dout0\[30\],30.91µm
net263,30.9µm
net577,30.89µm
net572,30.82µm
net258,30.74µm
net394,30.62µm
net316,30.58µm
net386,30.56µm
net543,30.34µm
_244_,30.325µm
dout0\[17\],30.21µm
net672,30.16µm
net541,30.05µm
net371,30µm
net581,29.9µm
net638,29.9µm
net376,29.84µm
net377,29.83µm
_151_,29.82µm
net548,29.77µm
_247_,29.74µm
net330,29.72µm
_145_,29.58µm
_060_,29.57µm
net260,29.45µm
net584,29.34µm
_139_,29.3µm
wr_data[3],29.26µm
net164,29.2µm
dout0_q\[15\],29.06µm
_082_,28.98µm
wr_data[20],28.98µm
_137_,28.92µm
net642,28.79µm
net646,28.67µm
wr_data[14],28.5µm
dout0_q\[26\],28.44µm
net303,28.42µm
net644,28.35µm
_201_,28.24µm
net605,28.06µm
wr_data[6],28.04µm
net547,28.005µm
net278,27.94µm
_140_,27.92µm
net387,27.84µm
net641,27.72µm
net471,27.68µm
net288,27.66µm
net312,27.61µm
net634,27.61µm
net406,27.56µm
net315,27.5µm
net126,27.49µm
net620,27.39µm
dout0\[21\],27.35µm
dout0\[29\],27.26µm
net310,27.22µm
net561,27.2µm
net15,27.14µm
wr_data[17],27.12µm
_131_,27.1µm
_052_,26.93µm
net549,26.91µm
_156_,26.895µm
_236_,26.76µm
wr_data[16],26.66µm
net4,26.6µm
dout0\[19\],26.59µm
net308,26.56µm
_154_,26.46µm
net24,26.34µm
net7,26.32µm
_251_,26.28µm
net36,26.28µm
net404,26.25µm
dout0\[20\],26.23µm
_051_,26.19µm
net306,26.16µm
net574,26.1µm
net8,26.04µm
net438,25.97µm
net583,25.94µm
net9,25.92µm
dout0\[31\],25.815µm
net5,25.8µm
dout0_q\[16\],25.76µm
_248_,25.68µm
_058_,25.62µm
net256,25.62µm
net273,25.54µm
net309,25.49µm
acc_core.adder.cla_blocks\[3\].block.sum\[1\],25.38µm
net168,25.38µm
net488,25.3µm
net41,25.2µm
net227,25.2µm
net369,25.04µm
net531,25µm
_146_,24.96µm
net372,24.94µm
net540,24.92µm
net463,24.9µm
dout0_q\[4\],24.88µm
net366,24.82µm
net475,24.81µm
dout0_q\[0\],24.72µm
_207_,24.68µm
net373,24.56µm
dout0\[25\],24.47µm
_205_,24.46µm
net435,24.44µm
net403,24.4µm
wr_data[15],24.36µm
net571,24.24µm
net264,24.22µm
wr_data[2],24.2µm
net272,24.16µm
dout0\[28\],24.09µm
net480,23.98µm
net87,23.78µm
dout0_q\[1\],23.76µm
net575,23.72µm
net12,23.68µm
net412,23.66µm
net440,23.5µm
wr_data[1],23.42µm
net314,23.38µm
net171,23.3µm
net589,23.295µm
net482,23.18µm
_120_,23.16µm
_164_,23.04µm
_141_,23.02µm
_136_,22.94µm
wr_data[23],22.9µm
net254,22.8µm
net68,22.74µm
dout0_q\[27\],22.66µm
net359,22.66µm
net111,22.5µm
_162_,22.47µm
_121_,22.46µm
_122_,22.36µm
net477,22.36µm
net58,22.3µm
net397,22.18µm
_165_,22.14µm
net103,22.12µm
net400,22.1µm
dout0_q\[18\],22.08µm
net289,22.04µm
dout0\[26\],22.01µm
rd_addr\[2\],21.94µm
net579,21.94µm
net158,21.82µm
net14,21.72µm
net3,21.7µm
net398,21.7µm
net442,21.66µm
net474,21.66µm
net537,21.64µm
net93,21.5µm
_142_,21.4µm
net370,21.38µm
net495,21.34µm
net401,21.24µm
_117_,21.22µm
net311,21.2µm
net220,21.16µm
dout0_q\[10\],21.14µm
net69,21.14µm
rd_addr\[3\],21.12µm
net86,21.12µm
net53,21µm
net172,21µm
dout0\[22\],20.99µm
net446,20.955µm
_158_,20.94µm
net165,20.94µm
net563,20.82µm
net355,20.76µm
net106,20.66µm
net588,20.66µm
net361,20.65µm
_219_,20.58µm
dout0_q\[22\],20.54µm
net99,20.46µm
dout0_q\[29\],20.42µm
_116_,20.4µm
_149_,20.3µm
net422,20.3µm
net357,20.26µm
dout0_q\[5\],20.1µm
net16,20.04µm
dout0_q\[19\],20.02µm
net63,20µm
net238,19.86µm
net282,19.74µm
net182,19.62µm
dout0\[27\],19.61µm
net57,19.6µm
net615,19.6µm
net365,19.56µm
wr_data[25],19.44µm
net253,19.4µm
net269,19.4µm
net90,19.34µm
dout0\[23\],19.29µm
net48,19.28µm
rd_addr\[6\],19.24µm
net567,19.12µm
net55,19µm
net51,18.98µm
dout0_q\[24\],18.86µm
dout0_q\[9\],18.76µm
net578,18.7µm
net559,18.6µm
_153_,18.58µm
_200_,18.56µm
dout0_q\[23\],18.38µm
wr_data[22],18.38µm
dout0_q\[30\],18.24µm
net354,18.22µm
net280,18.17µm
_211_,18.12µm
net408,18.12µm
net160,18.08µm
net449,17.94µm
net485,17.92µm
net170,17.88µm
acc_out[4],17.79µm
net479,17.68µm
net251,17.63µm
acc_out[22],17.54µm
net249,17.52µm
_138_,17.5µm
_166_,17.5µm
net232,17.48µm
net304,17.48µm
net504,17.42µm
net228,17.38µm
net455,17.36µm
net166,17.32µm
net85,17.28µm
acc_out[23],17.24µm
dout0_q\[28\],17.24µm
net181,17.23µm
net682,17.18µm
net413,17.14µm
net552,17.135µm
net105,17.08µm
wr_data[0],17µm
net367,17µm
wr_data[31],16.92µm
dout0\[24\],16.915µm
acc_out[6],16.91µm
_202_,16.86µm
_232_,16.74µm
net219,16.7µm
net614,16.68µm
net118,16.62µm
_025_,16.59µm
_059_,16.59µm
net374,16.56µm
net167,16.555µm
net21,16.54µm
net97,16.5µm
net585,16.5µm
net38,16.48µm
net573,16.48µm
net395,16.44µm
net499,16.42µm
net528,16.41µm
net40,16.38µm
net484,16.22µm
net11,16.18µm
net236,16.18µm
net266,16.16µm
net521,16.14µm
net351,16.12µm
net353,16.02µm
net680,15.99µm
net379,15.96µm
net61,15.94µm
net601,15.92µm
net677,15.87µm
_159_,15.82µm
net10,15.76µm
net378,15.76µm
net448,15.64µm
net490,15.64µm
_134_,15.6µm
net78,15.48µm
net352,15.46µm
acc_out[19],15.4µm
net237,15.38µm
net244,15.34µm
net333,15.34µm
net381,15.32µm
net444,15.3µm
dout0_q\[17\],15.23µm
net56,15.14µm
net520,15.1µm
wr_data[24],15.08µm
net383,14.88µm
net318,14.86µm
net60,14.8µm
net320,14.8µm
_234_,14.68µm
net686,14.63µm
net81,14.62µm
_102_,14.59µm
net248,14.52µm
net679,14.47µm
_114_,14.46µm
net491,14.46µm
acc_core.adder.cla_blocks\[0\].block.sum\[2\],14.44µm
net100,14.435µm
_050_,14.41µm
_190_,14.36µm
net570,14.32µm
net169,14.28µm
net678,14.27µm
_240_,14.26µm
net530,14.26µm
net334,14.22µm
_133_,14.2µm
_214_,14.18µm
net586,14.1µm
wr_data[30],14.08µm
net231,14µm
net684,13.99µm
net681,13.96µm
net319,13.96µm
net161,13.94µm
net185,13.94µm
net349,13.94µm
net39,13.9µm
net270,13.88µm
net218,13.82µm
_163_,13.78µm
net44,13.74µm
net529,13.73µm
_057_,13.69µm
acc_core.adder.cla_blocks\[2\].block.sum\[2\],13.66µm
dout0_q\[25\],13.64µm
net247,13.64µm
_123_,13.62µm
net364,13.6µm
net685,13.59µm
net29,13.54µm
net673,13.53µm
_261_,13.48µm
_224_,13.4µm
net675,13.36µm
net683,13.36µm
net70,13.36µm
net554,13.34µm
_152_,13.32µm
net203,13.3µm
net456,13.24µm
net687,13.13µm
acc_out[14],13.1µm
net526,13.1µm
_157_,13.08µm
net267,13.08µm
net569,13.08µm
acc_out[30],13.06µm
rd_addr\[1\],13.04µm
net133,13.04µm
acc_out[7],13.03µm
_144_,12.98µm
net190,12.98µm
net54,12.97µm
_019_,12.91µm
net300,12.9µm
net245,12.8µm
dout0_q\[20\],12.7µm
net674,12.68µm
net380,12.64µm
_210_,12.62µm
net23,12.62µm
net28,12.62µm
net396,12.58µm
net33,12.44µm
_088_,12.38µm
net329,12.36µm
rd_addr\[4\],12.34µm
net191,12.3µm
_217_,12.24µm
net109,12.24µm
net135,12.22µm
_226_,12.205µm
net205,12.18µm
_110_,12.16µm
net676,12.08µm
rd_addr\[5\],12.08µm
net608,12.04µm
net119,11.98µm
_160_,11.9µm
net176,11.88µm
net179,11.76µm
net534,11.7µm
net125,11.68µm
acc_core.adder.cla_blocks\[1\].block.sum\[0\],11.66µm
net162,11.66µm
net618,11.66µm
rd_addr\[7\],11.62µm
_195_,11.58µm
net148,11.58µm
_090_,11.56µm
net525,11.56µm
net532,11.56µm
_215_,11.46µm
net131,11.34µm
net651,11.28µm
acc_out[17],11.26µm
net132,11.26µm
_107_,11.24µm
_208_,11.24µm
net323,11.2µm
net350,11.2µm
net346,11.12µm
_042_,11.08µm
net80,11.08µm
net276,11.02µm
net368,10.86µm
acc_core.adder.cla_blocks\[4\].block.sum\[1\],10.845µm
_095_,10.8µm
_150_,10.78µm
net113,10.78µm
net384,10.78µm
net431,10.74µm
net481,10.72µm
web0,10.7µm
_181_,10.66µm
net157,10.66µm
_176_,10.64µm
_266_,10.62µm
wr_data[21],10.56µm
net196,10.56µm
_073_,10.55µm
_015_,10.53µm
_204_,10.5µm
net194,10.5µm
_083_,10.46µm
_262_,10.4µm
_098_,10.38µm
net476,10.38µm
_087_,10.34µm
_147_,10.34µm
acc_out[21],10.32µm
acc_out[8],10.32µm
net163,10.32µm
_175_,10.28µm
acc_core.adder.cla_blocks\[4\].block.sum\[0\],10.28µm
net510,10.26µm
_155_,10.225µm
wr_addr[0],10.21µm
_072_,10.2µm
net305,10.16µm
acc_core.adder.cla_blocks\[1\].block.sum\[2\],10.1µm
rd_addr\[0\],10.04µm
net360,10.04µm
net112,9.98µm
net239,9.94µm
net291,9.94µm
acc_out[9],9.88µm
net76,9.82µm
net206,9.8µm
net234,9.78µm
net326,9.78µm
dout0_q\[21\],9.76µm
_197_,9.74µm
net611,9.68µm
_192_,9.64µm
dout0_q\[12\],9.64µm
wr_data[27],9.64µm
net250,9.62µm
net503,9.58µm
_188_,9.56µm
net64,9.5µm
net517,9.5µm
net89,9.48µm
_101_,9.38µm
net144,9.34µm
net518,9.26µm
valid_d1,9.2µm
wr_data[26],9.18µm
net332,9.18µm
net512,9.18µm
acc_core.adder.cla_blocks\[6\].block.sum\[1\],9.14µm
acc_core.adder.cla_blocks\[1\].block.sum\[1\],9.08µm
dout0_q\[7\],9.06µm
net121,9.06µm
_089_,9.04µm
_104_,9.04µm
net67,9.04µm
_103_,9.02µm
net19,9.02µm
net34,9.02µm
_081_,8.98µm
_206_,8.98µm
net287,8.98µm
acc_out[10],8.96µm
acc_out[11],8.96µm
acc_out[13],8.96µm
acc_out[15],8.96µm
acc_out[16],8.96µm
acc_out[20],8.96µm
acc_out[24],8.96µm
acc_out[25],8.96µm
acc_out[26],8.96µm
acc_out[28],8.96µm
acc_out[31],8.96µm
net241,8.96µm
_174_,8.94µm
_106_,8.9µm
acc_core.adder.cla_blocks\[7\].block.sum\[1\],8.9µm
_198_,8.87µm
net268,8.86µm
_209_,8.84µm
net186,8.84µm
_065_,8.82µm
net209,8.82µm
net342,8.82µm
net498,8.82µm
net533,8.82µm
_183_,8.8µm
net115,8.8µm
_199_,8.78µm
_238_,8.78µm
rst,8.72µm
wr_data[28],8.72µm
wr_data[29],8.72µm
_191_,8.58µm
_054_,8.57µm
net120,8.53µm
_080_,8.52µm
_094_,8.5µm
_239_,8.5µm
acc_out[12],8.5µm
acc_out[18],8.5µm
acc_out[27],8.5µm
acc_out[29],8.5µm
net382,8.48µm
net110,8.46µm
dout0_q\[31\],8.44µm
net150,8.44µm
acc_core.adder.cla_blocks\[7\].block.sum\[3\],8.4µm
_062_,8.36µm
net143,8.36µm
net514,8.3µm
net576,8.22µm
net295,8.2µm
net339,8.2µm
net496,8.2µm
_074_,8.16µm
net690,8.14µm
net502,8.12µm
net213,8.08µm
net279,8.06µm
_194_,8.04µm
dout0_q\[2\],8.02µm
net151,8.02µm
net217,8.02µm
net17,7.98µm
net77,7.98µm
net187,7.98µm
net321,7.98µm
net524,7.98µm
net363,7.96µm
net30,7.94µm
net198,7.93µm
net216,7.92µm
_203_,7.9µm
net129,7.9µm
net511,7.86µm
net506,7.84µm
_008_,7.81µm
_129_,7.76µm
net523,7.68µm
_119_,7.66µm
net322,7.64µm
net296,7.6µm
net613,7.6µm
net246,7.58µm
net262,7.58µm
_172_,7.54µm
_084_,7.52µm
net223,7.52µm
net292,7.52µm
net18,7.48µm
net536,7.48µm
dout0_q\[6\],7.32µm
net192,7.28µm
acc_core.adder.cla_blocks\[3\].block.sum\[3\],7.24µm
_218_,7.22µm
net527,7.22µm
_100_,7.2µm
_196_,7.2µm
_168_,7.185µm
_125_,7.18µm
net104,7.18µm
_220_,7.16µm
net204,7.1µm
_180_,7.06µm
_255_,7.06µm
_221_,7.04µm
_252_,7.04µm
net242,7.04µm
_184_,7.035µm
net211,7µm
_011_,6.98µm
_167_,6.98µm
_256_,6.98µm
net127,6.98µm
net130,6.98µm
_177_,6.96µm
_085_,6.94µm
net88,6.9µm
_020_,6.81µm
_233_,6.78µm
_027_,6.77µm
_182_,6.76µm
net159,6.76µm
net152,6.74µm
net202,6.74µm
net31,6.72µm
acc_core.adder.cla_blocks\[6\].block.sum\[0\],6.7µm
net212,6.66µm
_006_,6.65µm
net317,6.64µm
net341,6.64µm
_222_,6.6µm
valid_d2,6.6µm
_213_,6.52µm
_254_,6.52µm
net214,6.52µm
net286,6.52µm
_079_,6.505µm
_028_,6.45µm
net688,6.445µm
_228_,6.44µm
_001_,6.38µm
acc_core.adder.cla_blocks\[6\].block.sum\[3\],6.38µm
_071_,6.37µm
_005_,6.31µm
acc_core.adder.cla_blocks\[2\].block.sum\[3\],6.3µm
net252,6.3µm
net114,6.28µm
net178,6.26µm
net200,6.26µm
_045_,6.25µm
_179_,6.2µm
net92,6.2µm
_092_,6.18µm
net201,6.18µm
net335,6.18µm
net184,6.14µm
wr_en,6.09µm
_039_,6.06µm
_187_,6.06µm
net473,6.04µm
wr_addr[6],5.97µm
_230_,5.96µm
_231_,5.94µm
net505,5.94µm
acc_core.adder.cla_blocks\[5\].block.sum\[0\],5.92µm
acc_core.adder.cla_blocks\[6\].block.sum\[2\],5.92µm
_004_,5.85µm
_007_,5.85µm
_259_,5.84µm
_267_,5.84µm
net83,5.84µm
_111_,5.82µm
net500,5.82µm
_223_,5.8µm
acc_core.adder.cla_blocks\[2\].block.sum\[0\],5.8µm
net26,5.8µm
net457,5.8µm
acc_out[2],5.75µm
acc_core.adder.cla_blocks\[0\].block.sum\[3\],5.72µm
net94,5.72µm
net140,5.72µm
net331,5.72µm
net468,5.72µm
_216_,5.7µm
net65,5.7µm
net146,5.7µm
_132_,5.68µm
net459,5.68µm
net464,5.68µm
net516,5.68µm
net340,5.64µm
wr_addr[1],5.63µm
_097_,5.6µm
net610,5.5µm
net59,5.48µm
net215,5.48µm
_108_,5.4µm
_227_,5.4µm
_257_,5.4µm
acc_core.adder.cla_blocks\[4\].block.sum\[3\],5.4µm
net195,5.4µm
_024_,5.39µm
_096_,5.38µm
net35,5.38µm
net233,5.38µm
net265,5.38µm
net345,5.38µm
net356,5.38µm
net362,5.38µm
_225_,5.36µm
net156,5.36µm
_076_,5.34µm
acc_core.adder.cla_blocks\[2\].block.sum\[1\],5.34µm
net283,5.34µm
net519,5.34µm
wr_addr[3],5.29µm
wr_addr[4],5.29µm
_077_,5.285µm
net193,5.28µm
net229,5.28µm
net507,5.28µm
net602,5.28µm
net25,5.26µm
net284,5.26µm
_235_,5.16µm
net478,5.14µm
acc_out[1],5.07µm
acc_out[3],5.07µm
acc_out[5],5.07µm
_041_,5.04µm
net177,5.04µm
dout0_q\[14\],5.02µm
_105_,5µm
_046_,4.99µm
wr_addr[5],4.95µm
_170_,4.94µm
_010_,4.93µm
_189_,4.92µm
_265_,4.92µm
net84,4.92µm
_243_,4.91µm
net141,4.9µm
net409,4.9µm
net419,4.9µm
net460,4.9µm
acc_core.adder.cla_blocks\[7\].block.sum\[0\],4.88µm
net290,4.88µm
net414,4.88µm
net458,4.88µm
net515,4.88µm
_043_,4.87µm
net122,4.82µm
net175,4.8µm
net183,4.8µm
net285,4.8µm
net483,4.8µm
net612,4.8µm
net210,4.76µm
net415,4.76µm
net418,4.76µm
acc_core.adder.cla_blocks\[3\].block.sum\[0\],4.68µm
net375,4.68µm
net399,4.68µm
wr_addr[2],4.61µm
wr_addr[7],4.61µm
acc_core.adder.cla_blocks\[3\].block.sum\[2\],4.58µm
net188,4.58µm
_128_,4.56µm
_034_,4.54µm
acc_core.adder.cla_blocks\[7\].block.sum\[2\],4.54µm
_038_,4.53µm
_064_,4.53µm
_070_,4.53µm
_264_,4.48µm
acc_core.adder.cla_blocks\[5\].block.sum\[2\],4.48µm
_258_,4.46µm
dout0_q\[13\],4.46µm
net343,4.46µm
net405,4.46µm
net508,4.46µm
_193_,4.445µm
net62,4.44µm
net338,4.44µm
_078_,4.42µm
net139,4.42µm
net155,4.42µm
acc_out[0],4.39µm
net82,4.36µm
net124,4.36µm
net147,4.36µm
net604,4.36µm
dout0_q\[11\],4.34µm
net348,4.34µm
net402,4.34µm
net426,4.34µm
net489,4.34µm
net535,4.34µm
net138,4.24µm
_069_,4.22µm
net66,4.22µm
net208,4.22µm
net501,4.22µm
_012_,4.15µm
_067_,4.15µm
acc_core.adder.cla_blocks\[0\].block.p\[0\],4.14µm
acc_core.adder.cla_blocks\[1\].block.sum\[3\],4.12µm
_013_,4.08µm
_018_,4.08µm
net145,4µm
net344,4µm
net445,4µm
_186_,3.9µm
net134,3.9µm
net617,3.9µm
_185_,3.88µm
net271,3.88µm
net298,3.88µm
net393,3.88µm
net439,3.88µm
net443,3.88µm
net447,3.88µm
net453,3.88µm
net98,3.78µm
acc_core.adder.cla_blocks\[5\].block.sum\[3\],3.68µm
net616,3.56µm
_091_,3.54µm
net91,3.54µm
net425,3.54µm
net465,3.54µm
net469,3.54µm
net492,3.54µm
_099_,3.42µm
_115_,3.42µm
_171_,3.42µm
_173_,3.42µm
_212_,3.42µm
net123,3.42µm
net142,3.42µm
net281,3.42µm
net437,3.42µm
_040_,3.23µm
_250_,3.22µm
net691,3.22µm
_113_,3.18µm
_049_,3.13µm
dout0_q\[8\],3.1µm
_126_,3.08µm
net149,3.08µm
net240,3.08µm
net497,3.08µm
_009_,3.03µm
net174,2.98µm
net199,2.96µm
net226,2.96µm
net230,2.96µm
net243,2.96µm
net189,2.86µm
_016_,2.84µm
_026_,2.84µm
_031_,2.84µm
_033_,2.84µm
_066_,2.84µm
acc_core.adder.cla_blocks\[0\].block.sum\[1\],2.84µm
acc_core.adder.cla_blocks\[5\].block.sum\[1\],2.84µm
net255,2.84µm
_035_,2.74µm
_014_,2.67µm
net32,2.62µm
net96,2.62µm
net259,2.62µm
_118_,2.52µm
net277,2.52µm
net522,2.52µm
_093_,2.5µm
_263_,2.5µm
net154,2.5µm
net441,2.5µm
_044_,2.43µm
_021_,2.38µm
_022_,2.38µm
_029_,2.38µm
_030_,2.38µm
_032_,2.38µm
_036_,2.38µm
_048_,2.38µm
_075_,2.38µm
acc_core.adder.cla_blocks\[4\].block.sum\[2\],2.28µm
_068_,2.23µm
_003_,2.21µm
net75,2.18µm
_047_,2.16µm
_063_,2.16µm
_109_,2.16µm
_127_,2.16µm
_237_,2.16µm
net197,2.16µm
net509,2.16µm
net2,2.06µm
net153,2.06µm
net222,2.06µm
net224,2.06µm
net235,2.06µm
net261,2.06µm
_178_,2.04µm
_229_,2.04µm
net117,2.04µm
net137,2.04µm
net180,2.04µm
net307,2.04µm
_086_,1.84µm
net689,1.84µm
_000_,1.75µm
_260_,1.72µm
_002_,1.7µm
_241_,1.7µm
net79,1.7µm
net128,1.7µm
net207,1.7µm
net513,1.7µm
_253_,1.38µm
net336,1.38µm
_017_,1.36µm
_023_,1.36µm
_037_,1.36µm
_061_,1.36µm
net116,1.26µm
net347,1.16µm
_112_,1.14µm
net27,1.14µm
net136,1.14µm
net225,1.14µm
net257,1.14µm
net337,1.14µm
net358,1.14µm
net391,1.14µm
net429,1.14µm
net432,1.14µm
net434,1.14µm
net466,1.14µm
_169_,0.92µm
_246_,0.92µm
