net,length_um
clknet_0_clk,438.32µm
net671,430.63µm
clk,230.76µm
net663,186.91µm
clknet_3_2__leaf_clk,171.03µm
clknet_3_5__leaf_clk,158.14µm
net597,139.96µm
net594,130.84µm
clknet_3_4__leaf_clk,120.14µm
clknet_3_6__leaf_clk,110.06µm
addr0\[0\],102.15µm
addr0\[2\],99.48µm
net670,98.7µm
addr0\[1\],96.18µm
clknet_3_3__leaf_clk,95.42µm
net669,94.755µm
net667,94.12µm
net436,92.54µm
net595,92.4µm
clknet_3_7__leaf_clk,89.81µm
addr0\[3\],89.7µm
net666,89.09µm
net619,87.58µm
net560,82.46µm
net592,81.09µm
net603,80.38µm
net624,80.275µm
net555,79.78µm
net551,78.3µm
net553,77.12µm
dout0\[4\],76.93µm
net668,75.89µm
dout0\[5\],74.75µm
dout0\[1\],74.73µm
clknet_3_1__leaf_clk,72.44µm
net544,71.75µm
net665,69.7µm
net324,67.54µm
net623,66.74µm
net407,66.6µm
clknet_3_0__leaf_clk,66µm
net664,64.98µm
dout0\[2\],64.45µm
dout0\[6\],63.53µm
net20,63.22µm
net590,62.93µm
net72,62.78µm
dout0\[3\],60.82µm
dout0\[8\],60.75µm
dout0\[7\],60.53µm
dout0\[0\],59.92µm
net596,59.84µm
net493,59.2µm
net328,57.98µm
net494,57.43µm
net650,56.89µm
dout0\[10\],56.23µm
net467,55.9µm
_249_,54.97µm
addr0\[7\],54.82µm
net661,54.59µm
_143_,54.07µm
net591,52.53µm
addr0\[6\],51.98µm
net542,51.7µm
net101,51.63µm
dout0\[9\],51.16µm
net593,51.11µm
net470,49.98µm
net633,49.93µm
net658,49.89µm
net599,49.52µm
net654,49.23µm
net625,49.1µm
net325,48.89µm
net428,48.72µm
net653,48.65µm
net626,48.61µm
net461,48.54µm
net302,47.44µm
net655,47.36µm
net46,47.28µm
net108,47.1µm
addr0\[4\],46.68µm
net294,46.66µm
net433,46.54µm
dout0\[12\],46.35µm
net50,46.08µm
net454,45.78µm
net452,45.68µm
net102,45.47µm
net427,45.38µm
net430,45.36µm
net451,44.98µm
net423,44.88µm
dout0\[11\],44.85µm
net660,44.81µm
net565,44.74µm
net556,44.64µm
net52,44.53µm
net580,43.92µm
dout0\[14\],43.55µm
_242_,43.53µm
dout0\[13\],43.43µm
net636,43.43µm
net388,43µm
net568,42.98µm
net221,42.9µm
net327,42.89µm
wr_data[10],42.76µm
net45,42.68µm
net562,42.54µm
net564,42.54µm
net299,42.52µm
_130_,42.44µm
dout0\[15\],41.95µm
net630,41.87µm
net297,41.72µm
net622,41.66µm
net411,41.34µm
addr0\[5\],41.24µm
net648,40.85µm
wr_data[5],40.76µm
net472,40.74µm
net558,40.7µm
net557,40.68µm
net587,40.68µm
wr_data[11],40.46µm
net49,40.44µm
_124_,40.26µm
net550,39.8µm
