net,length_um
net66,141.95µm
net68,137.66µm
net33,116.64µm
clknet_2_0__leaf_clk,87.6µm
clknet_2_2__leaf_clk,76.42µm
net67,73.08µm
clknet_2_1__leaf_clk,65.1µm
clk,63.43µm
clknet_2_3__leaf_clk,62.36µm
net69,54.16µm
clknet_0_clk,52.62µm
net59,45.06µm
net37,41.38µm
net45,37.24µm
net43,33.2µm
_087_,33.06µm
_129_,32.9µm
_088_,32.66µm
_055_,31.4µm
net34,30.88µm
net54,30.82µm
_155_,29.61µm
net46,29.26µm
net44,29.24µm
net38,28.8µm
net53,25.215µm
net50,25.12µm
_049_,24.96µm
_090_,24.68µm
net4,24.18µm
_192_,23.9µm
_097_,23.88µm
net64,23.26µm
net41,23.02µm
_084_,22.28µm
_143_,22.12µm
_041_,21.94µm
_062_,21.46µm
_076_,21.28µm
_032_,21.14µm
_058_,20.88µm
net31,20.78µm
_140_,20.7µm
net26,20.62µm
_068_,20.48µm
_085_,20.2µm
_051_,20.16µm
_157_,20.06µm
net63,20µm
_141_,19.96µm
net17,19.34µm
_065_,19.24µm
_125_,19.1µm
net55,19µm
_176_,18.28µm
net65,17.78µm
_149_,17.54µm
net21,16.94µm
_158_,16.86µm
_074_,16.74µm
net7,16.68µm
_146_,16.55µm
_082_,16.42µm
net47,16.28µm
_159_,16.07µm
_133_,15.94µm
_104_,15.56µm
net13,15.54µm
data_in[6],15.38µm
_132_,15.3µm
_153_,14.94µm
_081_,14.84µm
net8,14.7µm
net42,14.7µm
data_in[23],14.66µm
net48,14.64µm
net19,14.62µm
net51,14.58µm
_047_,14.52µm
_100_,14.5µm
_056_,14.4µm
acc[23],14.4µm
data_in[31],14.35µm
_038_,14.26µm
_110_,14.22µm
data_in[24],14.2µm
_034_,14.08µm
net25,14µm
net56,13.98µm
net40,13.94µm
net35,13.76µm
data_in[26],13.74µm
_145_,13.705µm
_119_,13.54µm
_064_,13.5µm
net39,13.42µm
net62,13.4µm
_099_,13.36µm
_116_,13.35µm
_109_,13.32µm
net3,13.31µm
_098_,13.28µm
data_in[27],13.28µm
net52,13.21µm
net1,13.16µm
_059_,13.1µm
_111_,13.06µm
acc[30],13.05µm
_092_,13.04µm
net57,13.02µm
_105_,12.92µm
_154_,12.9µm
data_in[5],12.87µm
_178_,12.78µm
net20,12.7µm
_123_,12.5µm
acc[15],12.5µm
_139_,12.44µm
_183_,12.44µm
data_in[22],12.36µm
_163_,12.24µm
net29,12.08µm
_135_,11.92µm
acc[0],11.89µm
net18,11.88µm
adder.cla_blocks\[3\].block.sum\[0\],11.82µm
acc[11],11.72µm
data_in[29],11.69µm
acc[25],11.68µm
acc[27],11.68µm
net11,11.66µm
net36,11.66µm
adder.cla_blocks\[2\].block.sum\[1\],11.6µm
_035_,11.48µm
net5,11.48µm
_069_,11.46µm
data_in[25],11.44µm
acc[24],11.22µm
_189_,11.2µm
_161_,11.14µm
_114_,11.08µm
net14,11.06µm
net49,11.06µm
data_in[11],11.02µm
_043_,10.9µm
acc[26],10.76µm
_142_,10.65µm
_136_,10.62µm
_075_,10.36µm
_165_,10.36µm
data_in[15],10.32µm
_118_,10.28µm
_124_,10.22µm
data_in[4],10.13µm
data_in[7],10.1µm
_181_,9.9µm
data_in[0],9.87µm
net28,9.7µm
data_in[10],9.64µm
data_in[9],9.64µm
_128_,9.58µm
adder.cla_blocks\[6\].block.sum\[1\],9.54µm
_147_,9.42µm
acc[9],9.42µm
net32,9.2µm
adder.cla_blocks\[1\].block.sum\[2\],9.18µm
acc[4],9.17µm
net10,9.12µm
adder.cla_blocks\[4\].block.sum\[3\],9.08µm
_126_,9.02µm
_187_,9.02µm
net16,9µm
_080_,8.94µm
_060_,8.92µm
_067_,8.92µm
_184_,8.9µm
data_in[1],8.85µm
adder.cla_blocks\[2\].block.sum\[2\],8.84µm
net9,8.8µm
_162_,8.7µm
_115_,8.66µm
net27,8.54µm
data_in[17],8.51µm
acc[10],8.5µm
acc[12],8.5µm
acc[6],8.5µm
acc[7],8.5µm
data_in[8],8.49µm
_037_,8.48µm
net6,8.4µm
_052_,8.34µm
_117_,8.32µm
_072_,8.24µm
_094_,8.2µm
net12,8.1µm
net23,8.04µm
_048_,8.01µm
rst,8.01µm
_044_,7.98µm
_137_,7.98µm
_095_,7.96µm
_046_,7.94µm
_179_,7.88µm
adder.cla_blocks\[3\].block.sum\[2\],7.82µm
adder.cla_blocks\[4\].block.sum\[0\],7.82µm
acc[28],7.81µm
net60,7.74µm
_057_,7.52µm
_079_,7.52µm
_093_,7.48µm
net58,7.18µm
_169_,7.1µm
_122_,7.08µm
_193_,7.08µm
data_in[14],7.01µm
data_in[18],7.01µm
_167_,6.94µm
adder.cla_blocks\[2\].block.sum\[0\],6.94µm
_102_,6.76µm
_160_,6.76µm
_171_,6.72µm
_106_,6.62µm
_108_,6.6µm
acc[19],6.57µm
net15,6.5µm
_120_,6.48µm
acc[1],6.45µm
acc[29],6.45µm
acc[8],6.45µm
acc[22],6.43µm
_061_,6.4µm
_134_,6.4µm
_015_,6.37µm
net30,6.36µm
_144_,6.26µm
_042_,6.18µm
_121_,6.14µm
acc[5],6.11µm
_101_,6.08µm
net61,6.04µm
_039_,6.02µm
_194_,5.94µm
_190_,5.92µm
_172_,5.8µm
acc[31],5.77µm
acc[14],5.75µm
acc[17],5.75µm
_113_,5.68µm
_191_,5.68µm
_166_,5.6µm
adder.cla_blocks\[6\].block.sum\[3\],5.6µm
_151_,5.58µm
_188_,5.48µm
adder.cla_blocks\[0\].block.sum\[1\],5.46µm
adder.cla_blocks\[6\].block.sum\[0\],5.46µm
net24,5.38µm
_148_,5.36µm
_175_,5.34µm
_182_,5.34µm
data_in[2],5.31µm
data_in[13],5.29µm
data_in[20],5.29µm
data_in[21],5.29µm
data_in[28],5.29µm
_036_,5.28µm
_071_,5.26µm
_173_,5.18µm
net22,5.16µm
acc[13],5.07µm
acc[18],5.07µm
acc[2],5.07µm
adder.cla_blocks\[4\].block.sum\[1\],5.07µm
_077_,5.02µm
_096_,5.02µm
adder.cla_blocks\[5\].block.sum\[2\],5.02µm
data_in[16],4.95µm
adder.cla_blocks\[3\].block.sum\[1\],4.94µm
_131_,4.88µm
_017_,4.87µm
_086_,4.8µm
_186_,4.8µm
_156_,4.78µm
acc[16],4.73µm
data_in[3],4.73µm
_103_,4.68µm
_112_,4.68µm
_138_,4.68µm
data_in[30],4.61µm
adder.cla_blocks\[5\].block.sum\[3\],4.58µm
net2,4.56µm
acc[20],4.39µm
acc[21],4.39µm
acc[3],4.39µm
data_in[12],4.27µm
data_in[19],4.27µm
_030_,4.08µm
adder.cla_blocks\[7\].block.sum\[1\],4.02µm
_152_,3.9µm
_195_,3.9µm
_083_,3.88µm
_029_,3.76µm
adder.cla_blocks\[0\].block.p\[0\],3.66µm
adder.cla_blocks\[3\].block.sum\[3\],3.66µm
_174_,3.56µm
adder.cla_blocks\[1\].block.sum\[3\],3.56µm
_033_,3.54µm
_070_,3.54µm
_185_,3.54µm
_010_,3.42µm
_054_,3.42µm
_078_,3.42µm
_089_,3.42µm
_107_,3.32µm
_019_,3.23µm
adder.cla_blocks\[0\].block.sum\[2\],3.2µm
_196_,3.1µm
_168_,2.98µm
_012_,2.96µm
_018_,2.96µm
_031_,2.96µm
_040_,2.96µm
adder.cla_blocks\[4\].block.sum\[2\],2.86µm
_009_,2.84µm
_016_,2.84µm
_023_,2.84µm
_027_,2.84µm
adder.cla_blocks\[7\].block.sum\[0\],2.84µm
_000_,2.77µm
_002_,2.77µm
adder.cla_blocks\[7\].block.sum\[2\],2.665µm
_063_,2.64µm
adder.cla_blocks\[1\].block.sum\[0\],2.62µm
adder.cla_blocks\[1\].block.sum\[1\],2.62µm
adder.cla_blocks\[6\].block.sum\[2\],2.62µm
_045_,2.5µm
_073_,2.5µm
_150_,2.5µm
_004_,2.38µm
_005_,2.38µm
_014_,2.38µm
_022_,2.38µm
_026_,2.38µm
_007_,2.23µm
_008_,2.23µm
_020_,2.23µm
_024_,2.23µm
_025_,2.23µm
adder.cla_blocks\[5\].block.sum\[0\],2.18µm
_053_,2.16µm
_180_,2.16µm
_164_,2.04µm
_177_,2.04µm
adder.cla_blocks\[0\].block.sum\[3\],1.845µm
_198_,1.84µm
_006_,1.82µm
_011_,1.82µm
adder.cla_blocks\[2\].block.sum\[3\],1.82µm
adder.cla_blocks\[7\].block.sum\[3\],1.82µm
_197_,1.72µm
_003_,1.7µm
_066_,1.7µm
adder.cla_blocks\[5\].block.sum\[1\],1.7µm
_127_,1.38µm
_199_,1.38µm
_001_,1.36µm
_013_,1.36µm
_021_,1.36µm
_028_,1.36µm
_091_,1.14µm
_170_,1.14µm
_130_,1.02µm
_050_,0.46µm
