net,length_um
acc[20],5.07µm
_094_,5.02µm
data_in[18],4.95µm
data_in[19],4.95µm
_029_,4.93µm
net14,4.92µm
_012_,4.88µm
adder.cla_blocks\[1\].block.sum\[1\],4.88µm
_040_,4.8µm
acc[16],4.73µm
_037_,4.7µm
acc[1],4.61µm
adder.cla_blocks\[0\].block.sum\[2\],4.605µm
_052_,4.56µm
_077_,4.56µm
adder.cla_blocks\[3\].block.sum\[3\],4.54µm
adder.cla_blocks\[6\].block.sum\[3\],4.54µm
_197_,4.48µm
adder.cla_blocks\[0\].block.sum\[1\],4.34µm
adder.cla_blocks\[1\].block.sum\[3\],4.34µm
_173_,4.28µm
acc[31],4.27µm
_022_,4.25µm
_117_,4.22µm
_110_,4.1µm
_167_,4.08µm
_061_,4µm
acc[29],3.93µm
acc[2],3.93µm
_152_,3.88µm
_168_,3.88µm
adder.cla_blocks\[5\].block.sum\[0\],3.845µm
adder.cla_blocks\[2\].block.sum\[1\],3.66µm
adder.cla_blocks\[6\].block.sum\[2\],3.66µm
adder.cla_blocks\[7\].block.sum\[0\],3.56µm
adder.cla_blocks\[7\].block.sum\[2\],3.54µm
_131_,3.52µm
_198_,3.42µm
adder.cla_blocks\[3\].block.sum\[0\],3.42µm
adder.cla_blocks\[3\].block.sum\[2\],3.3µm
_001_,3.18µm
adder.cla_blocks\[3\].block.sum\[1\],3.08µm
_003_,3.06µm
_144_,2.98µm
_150_,2.86µm
_165_,2.84µm
adder.cla_blocks\[6\].block.sum\[0\],2.74µm
_000_,2.69µm
_016_,2.69µm
_019_,2.69µm
_164_,2.64µm
_024_,2.62µm
_172_,2.62µm
_193_,2.62µm
adder.cla_blocks\[2\].block.sum\[0\],2.62µm
adder.cla_blocks\[4\].block.sum\[0\],2.52µm
_066_,2.5µm
_073_,2.5µm
_127_,2.5µm
_009_,2.38µm
_017_,2.38µm
_006_,2.21µm
_013_,2.21µm
_113_,2.18µm
_169_,2.18µm
_020_,2.16µm
_050_,2.16µm
_156_,2.16µm
_185_,2.16µm
adder.cla_blocks\[5\].block.sum\[1\],2.16µm
_182_,2.04µm
adder.cla_blocks\[0\].block.p\[0\],1.84µm
_010_,1.82µm
_025_,1.82µm
_026_,1.82µm
_130_,1.7µm
_177_,1.38µm
_002_,1.36µm
_008_,1.36µm
_021_,1.36µm
_023_,1.36µm
_053_,1.26µm
_107_,0.92µm
_045_,0.8µm
