net,length_um
net9,76.69µm
clknet_1_0__leaf_clk,32.52µm
_25_,31.78µm
_18_,29.13µm
clknet_1_1__leaf_clk,28.62µm
net14,28.22µm
net12,27.835µm
_08_,23.9µm
_21_,23.635µm
_20_,23.18µm
net16,21.72µm
net10,21.34µm
_13_,21.06µm
net11,21.04µm
_11_,20.02µm
net1,19.78µm
_10_,19.64µm
_15_,17.98µm
net15,17.94µm
data_in[2],17.84µm
_30_,17.76µm
data_in[7],17.33µm
_31_,16.34µm
_23_,16.06µm
clknet_0_clk,16.02µm
net13,13.94µm
net3,13.6µm
data_in[0],13.51µm
_41_,12.62µm
data_in[1],12.53µm
acc[0],12.35µm
_37_,12.16µm
net2,12.16µm
net8,12.12µm
data_in[5],12.02µm
data_in[6],12.02µm
clk,11.95µm
_19_,11.595µm
data_in[3],11.02µm
_04_,10.87µm
_26_,10.3µm
_39_,9.84µm
_02_,9.11µm
acc[3],8.96µm
net17,8.54µm
acc[2],8.5µm
_12_,8.24µm
adder.low.sum\[2\],8.14µm
net4,7.74µm
_27_,7.565µm
_33_,7.34µm
_28_,6.98µm
adder.high.sum\[0\],6.6µm
net7,6.36µm
rst,6.09µm
net6,5.9µm
acc[5],5.75µm
acc[6],5.75µm
_16_,5.74µm
adder.low.p\[0\],5.5µm
_07_,5.46µm
data_in[4],5.29µm
_14_,5.16µm
acc[1],5.07µm
acc[4],5.07µm
net5,4.92µm
_34_,4.88µm
_01_,4.87µm
_24_,4.42µm
acc[7],4.39µm
_38_,4.34µm
_17_,4.12µm
_40_,4µm
adder.low.sum\[3\],3.42µm
_36_,2.96µm
_00_,2.89µm
_05_,2.84µm
adder.high.sum\[2\],2.765µm
_32_,2.64µm
_06_,2.38µm
_29_,2.3µm
_03_,2.04µm
_35_,1.82µm
adder.high.sum\[3\],1.82µm
_22_,1.38µm
adder.high.sum\[1\],1.36µm
adder.low.sum\[1\],1.36µm
_09_,0.46µm
