Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_255_1513,VPWR,li1,701.9600,704.4800,1.800000
FILLER_255_1504,VPWR,li1,699.2000,704.4800,1.800000
FILLER_255_1492,VPWR,li1,694.6000,704.4800,1.800000
FILLER_255_1483,VPWR,li1,689.5400,704.4800,1.800000
FILLER_255_1471,VPWR,li1,684.9400,704.4800,1.800000
FILLER_255_1462,VPWR,li1,679.8800,704.4800,1.800000
FILLER_255_1450,VPWR,li1,675.2800,704.4800,1.800000
FILLER_255_1441,VPWR,li1,670.2200,704.4800,1.800000
FILLER_255_1429,VPWR,li1,665.6200,704.4800,1.800000
FILLER_255_1420,VPWR,li1,660.5600,704.4800,1.800000
FILLER_255_1408,VPWR,li1,655.9600,704.4800,1.800000
FILLER_255_1399,VPWR,li1,650.9000,704.4800,1.800000
FILLER_255_1387,VPWR,li1,646.3000,704.4800,1.800000
FILLER_255_1378,VPWR,li1,641.2400,704.4800,1.800000
FILLER_255_1366,VPWR,li1,636.6400,704.4800,1.800000
FILLER_255_1357,VPWR,li1,631.5800,704.4800,1.800000
FILLER_255_1345,VPWR,li1,626.9800,704.4800,1.800000
FILLER_255_1336,VPWR,li1,621.9200,704.4800,1.800000
FILLER_255_1324,VPWR,li1,617.3200,704.4800,1.800000
FILLER_255_1315,VPWR,li1,612.2600,704.4800,1.800000
FILLER_255_1303,VPWR,li1,607.6600,704.4800,1.800000
FILLER_255_1294,VPWR,li1,602.6000,704.4800,1.800000
FILLER_255_1282,VPWR,li1,598.0000,704.4800,1.800000
FILLER_255_1273,VPWR,li1,592.9400,704.4800,1.800000
FILLER_255_1261,VPWR,li1,588.3400,704.4800,1.800000
FILLER_255_1252,VPWR,li1,583.2800,704.4800,1.800000
FILLER_255_1240,VPWR,li1,578.6800,704.4800,1.800000
FILLER_255_1231,VPWR,li1,573.6200,704.4800,1.800000
FILLER_255_1219,VPWR,li1,569.0200,704.4800,1.800000
FILLER_255_1210,VPWR,li1,563.9600,704.4800,1.800000
FILLER_255_1198,VPWR,li1,559.3600,704.4800,1.800000
FILLER_255_1189,VPWR,li1,554.3000,704.4800,1.800000
FILLER_255_1177,VPWR,li1,549.7000,704.4800,1.800000
FILLER_255_1168,VPWR,li1,544.6400,704.4800,1.800000
FILLER_255_1156,VPWR,li1,540.0400,704.4800,1.800000
FILLER_255_1147,VPWR,li1,534.9800,704.4800,1.800000
FILLER_255_1135,VPWR,li1,530.3800,704.4800,1.800000
FILLER_255_1126,VPWR,li1,525.3200,704.4800,1.800000
FILLER_255_1114,VPWR,li1,520.7200,704.4800,1.800000
FILLER_255_1105,VPWR,li1,515.6600,704.4800,1.800000
FILLER_255_1093,VPWR,li1,511.0600,704.4800,1.800000
FILLER_255_1084,VPWR,li1,506.0000,704.4800,1.800000
FILLER_255_1072,VPWR,li1,501.4000,704.4800,1.800000
FILLER_255_1063,VPWR,li1,496.3400,704.4800,1.800000
FILLER_255_1051,VPWR,li1,491.7400,704.4800,1.800000
FILLER_255_1042,VPWR,li1,486.6800,704.4800,1.800000
FILLER_255_1030,VPWR,li1,482.0800,704.4800,1.800000
FILLER_255_1021,VPWR,li1,477.0200,704.4800,1.800000
FILLER_255_1009,VPWR,li1,472.4200,704.4800,1.800000
FILLER_255_1000,VPWR,li1,467.3600,704.4800,1.800000
FILLER_255_988,VPWR,li1,462.7600,704.4800,1.800000
FILLER_255_979,VPWR,li1,457.7000,704.4800,1.800000
FILLER_255_967,VPWR,li1,453.1000,704.4800,1.800000
FILLER_255_958,VPWR,li1,448.0400,704.4800,1.800000
FILLER_255_946,VPWR,li1,443.4400,704.4800,1.800000
FILLER_255_937,VPWR,li1,438.3800,704.4800,1.800000
FILLER_255_925,VPWR,li1,433.7800,704.4800,1.800000
FILLER_255_916,VPWR,li1,428.7200,704.4800,1.800000
FILLER_255_904,VPWR,li1,424.1200,704.4800,1.800000
FILLER_255_895,VPWR,li1,419.0600,704.4800,1.800000
FILLER_255_883,VPWR,li1,414.4600,704.4800,1.800000
FILLER_255_874,VPWR,li1,409.4000,704.4800,1.800000
FILLER_255_862,VPWR,li1,404.8000,704.4800,1.800000
FILLER_255_853,VPWR,li1,399.7400,704.4800,1.800000
FILLER_255_841,VPWR,li1,395.1400,704.4800,1.800000
FILLER_255_832,VPWR,li1,390.0800,704.4800,1.800000
FILLER_255_820,VPWR,li1,385.4800,704.4800,1.800000
FILLER_255_811,VPWR,li1,380.4200,704.4800,1.800000
FILLER_255_799,VPWR,li1,375.8200,704.4800,1.800000
FILLER_255_790,VPWR,li1,370.7600,704.4800,1.800000
FILLER_255_778,VPWR,li1,366.1600,704.4800,1.800000
FILLER_255_769,VPWR,li1,361.1000,704.4800,1.800000
FILLER_255_757,VPWR,li1,356.5000,704.4800,1.800000
FILLER_255_748,VPWR,li1,351.4400,704.4800,1.800000
FILLER_255_736,VPWR,li1,346.8400,704.4800,1.800000
FILLER_255_727,VPWR,li1,341.7800,704.4800,1.800000
FILLER_255_715,VPWR,li1,337.1800,704.4800,1.800000
FILLER_255_706,VPWR,li1,332.1200,704.4800,1.800000
FILLER_255_694,VPWR,li1,327.5200,704.4800,1.800000
FILLER_255_685,VPWR,li1,322.4600,704.4800,1.800000
FILLER_255_673,VPWR,li1,317.8600,704.4800,1.800000
FILLER_255_664,VPWR,li1,312.8000,704.4800,1.800000
FILLER_255_652,VPWR,li1,308.2000,704.4800,1.800000
FILLER_255_643,VPWR,li1,303.1400,704.4800,1.800000
FILLER_255_631,VPWR,li1,298.5400,704.4800,1.800000
FILLER_255_622,VPWR,li1,293.4800,704.4800,1.800000
FILLER_255_610,VPWR,li1,288.8800,704.4800,1.800000
FILLER_255_601,VPWR,li1,283.8200,704.4800,1.800000
FILLER_255_589,VPWR,li1,279.2200,704.4800,1.800000
FILLER_255_580,VPWR,li1,274.1600,704.4800,1.800000
FILLER_255_568,VPWR,li1,269.5600,704.4800,1.800000
FILLER_255_559,VPWR,li1,264.5000,704.4800,1.800000
FILLER_255_547,VPWR,li1,259.9000,704.4800,1.800000
FILLER_255_538,VPWR,li1,254.8400,704.4800,1.800000
FILLER_255_526,VPWR,li1,250.2400,704.4800,1.800000
FILLER_255_517,VPWR,li1,245.1800,704.4800,1.800000
FILLER_255_505,VPWR,li1,240.5800,704.4800,1.800000
FILLER_255_496,VPWR,li1,235.5200,704.4800,1.800000
FILLER_255_484,VPWR,li1,230.9200,704.4800,1.800000
FILLER_255_475,VPWR,li1,225.8600,704.4800,1.800000
FILLER_255_463,VPWR,li1,221.2600,704.4800,1.800000
FILLER_255_454,VPWR,li1,216.2000,704.4800,1.800000
FILLER_255_442,VPWR,li1,211.6000,704.4800,1.800000
FILLER_255_433,VPWR,li1,206.5400,704.4800,1.800000
FILLER_255_421,VPWR,li1,201.9400,704.4800,1.800000
FILLER_255_412,VPWR,li1,196.8800,704.4800,1.800000
FILLER_255_400,VPWR,li1,192.2800,704.4800,1.800000
FILLER_255_391,VPWR,li1,187.2200,704.4800,1.800000
FILLER_255_379,VPWR,li1,182.6200,704.4800,1.800000
FILLER_255_370,VPWR,li1,177.5600,704.4800,1.800000
FILLER_255_358,VPWR,li1,172.9600,704.4800,1.800000
FILLER_255_349,VPWR,li1,167.9000,704.4800,1.800000
FILLER_255_337,VPWR,li1,163.3000,704.4800,1.800000
FILLER_255_328,VPWR,li1,158.2400,704.4800,1.800000
FILLER_255_316,VPWR,li1,153.6400,704.4800,1.800000
FILLER_255_307,VPWR,li1,148.5800,704.4800,1.800000
FILLER_255_295,VPWR,li1,143.9800,704.4800,1.800000
FILLER_255_286,VPWR,li1,138.9200,704.4800,1.800000
FILLER_255_274,VPWR,li1,134.3200,704.4800,1.800000
FILLER_255_265,VPWR,li1,129.2600,704.4800,1.800000
FILLER_255_253,VPWR,li1,124.6600,704.4800,1.800000
FILLER_255_244,VPWR,li1,119.6000,704.4800,1.800000
FILLER_255_232,VPWR,li1,115.0000,704.4800,1.800000
FILLER_255_223,VPWR,li1,109.9400,704.4800,1.800000
FILLER_255_211,VPWR,li1,105.3400,704.4800,1.800000
FILLER_255_202,VPWR,li1,100.2800,704.4800,1.800000
FILLER_255_190,VPWR,li1,95.6800,704.4800,1.800000
FILLER_255_181,VPWR,li1,90.6200,704.4800,1.800000
FILLER_255_169,VPWR,li1,86.0200,704.4800,1.800000
FILLER_255_160,VPWR,li1,80.9600,704.4800,1.800000
FILLER_255_148,VPWR,li1,76.3600,704.4800,1.800000
FILLER_255_139,VPWR,li1,71.3000,704.4800,1.800000
FILLER_255_127,VPWR,li1,66.7000,704.4800,1.800000
FILLER_255_118,VPWR,li1,61.6400,704.4800,1.800000
FILLER_255_106,VPWR,li1,57.0400,704.4800,1.800000
FILLER_255_97,VPWR,li1,51.9800,704.4800,1.800000
FILLER_255_85,VPWR,li1,47.3800,704.4800,1.800000
FILLER_255_76,VPWR,li1,42.3200,704.4800,1.800000
FILLER_255_64,VPWR,li1,37.7200,704.4800,1.800000
FILLER_255_55,VPWR,li1,32.6600,704.4800,1.800000
FILLER_255_43,VPWR,li1,28.0600,704.4800,1.800000
FILLER_255_34,VPWR,li1,23.0000,704.4800,1.800000
FILLER_255_22,VPWR,li1,18.4000,704.4800,1.800000
FILLER_255_15,VPWR,li1,13.8000,704.4800,1.800000
FILLER_255_3,VPWR,li1,9.6600,704.4800,1.800000
FILLER_254_1514,VPWR,li1,702.1900,704.4800,1.800000
FILLER_254_1508,VPWR,li1,700.5800,704.4800,1.800000
FILLER_254_1496,VPWR,li1,696.4400,704.4800,1.800000
FILLER_254_1484,VPWR,li1,690.9200,704.4800,1.800000
FILLER_254_1477,VPWR,li1,686.3200,704.4800,1.800000
FILLER_254_1465,VPWR,li1,682.1800,704.4800,1.800000
FILLER_254_1453,VPWR,li1,676.6600,704.4800,1.800000
FILLER_254_1441,VPWR,li1,671.1400,704.4800,1.800000
FILLER_254_1434,VPWR,li1,666.5400,704.4800,1.800000
FILLER_254_1422,VPWR,li1,662.4000,704.4800,1.800000
FILLER_254_1410,VPWR,li1,656.8800,704.4800,1.800000
FILLER_254_1398,VPWR,li1,651.3600,704.4800,1.800000
FILLER_254_1391,VPWR,li1,646.7600,704.4800,1.800000
FILLER_254_1379,VPWR,li1,642.6200,704.4800,1.800000
FILLER_254_1367,VPWR,li1,637.1000,704.4800,1.800000
FILLER_254_1355,VPWR,li1,631.5800,704.4800,1.800000
FILLER_254_1348,VPWR,li1,626.9800,704.4800,1.800000
FILLER_254_1336,VPWR,li1,622.8400,704.4800,1.800000
FILLER_254_1324,VPWR,li1,617.3200,704.4800,1.800000
FILLER_254_1312,VPWR,li1,611.8000,704.4800,1.800000
FILLER_254_1305,VPWR,li1,607.2000,704.4800,1.800000
FILLER_254_1293,VPWR,li1,603.0600,704.4800,1.800000
FILLER_254_1281,VPWR,li1,597.5400,704.4800,1.800000
FILLER_254_1269,VPWR,li1,592.0200,704.4800,1.800000
FILLER_254_1262,VPWR,li1,587.4200,704.4800,1.800000
FILLER_254_1250,VPWR,li1,583.2800,704.4800,1.800000
FILLER_254_1238,VPWR,li1,577.7600,704.4800,1.800000
FILLER_254_1226,VPWR,li1,572.2400,704.4800,1.800000
FILLER_254_1219,VPWR,li1,567.6400,704.4800,1.800000
FILLER_254_1207,VPWR,li1,563.5000,704.4800,1.800000
FILLER_254_1195,VPWR,li1,557.9800,704.4800,1.800000
FILLER_254_1183,VPWR,li1,552.4600,704.4800,1.800000
FILLER_254_1176,VPWR,li1,547.8600,704.4800,1.800000
FILLER_254_1164,VPWR,li1,543.7200,704.4800,1.800000
FILLER_254_1152,VPWR,li1,538.2000,704.4800,1.800000
FILLER_254_1140,VPWR,li1,532.6800,704.4800,1.800000
FILLER_254_1133,VPWR,li1,528.0800,704.4800,1.800000
FILLER_254_1121,VPWR,li1,523.9400,704.4800,1.800000
FILLER_254_1109,VPWR,li1,518.4200,704.4800,1.800000
FILLER_254_1097,VPWR,li1,512.9000,704.4800,1.800000
FILLER_254_1090,VPWR,li1,508.3000,704.4800,1.800000
FILLER_254_1078,VPWR,li1,504.1600,704.4800,1.800000
FILLER_254_1066,VPWR,li1,498.6400,704.4800,1.800000
FILLER_254_1054,VPWR,li1,493.1200,704.4800,1.800000
FILLER_254_1047,VPWR,li1,488.5200,704.4800,1.800000
FILLER_254_1035,VPWR,li1,484.3800,704.4800,1.800000
FILLER_254_1023,VPWR,li1,478.8600,704.4800,1.800000
FILLER_254_1011,VPWR,li1,473.3400,704.4800,1.800000
FILLER_254_1004,VPWR,li1,468.7400,704.4800,1.800000
FILLER_254_992,VPWR,li1,464.6000,704.4800,1.800000
FILLER_254_980,VPWR,li1,459.0800,704.4800,1.800000
FILLER_254_968,VPWR,li1,453.5600,704.4800,1.800000
FILLER_254_961,VPWR,li1,448.9600,704.4800,1.800000
FILLER_254_949,VPWR,li1,444.8200,704.4800,1.800000
FILLER_254_937,VPWR,li1,439.3000,704.4800,1.800000
FILLER_254_925,VPWR,li1,433.7800,704.4800,1.800000
FILLER_254_918,VPWR,li1,429.1800,704.4800,1.800000
FILLER_254_906,VPWR,li1,425.0400,704.4800,1.800000
FILLER_254_894,VPWR,li1,419.5200,704.4800,1.800000
FILLER_254_882,VPWR,li1,414.0000,704.4800,1.800000
FILLER_254_875,VPWR,li1,409.4000,704.4800,1.800000
FILLER_254_863,VPWR,li1,405.2600,704.4800,1.800000
FILLER_254_851,VPWR,li1,399.7400,704.4800,1.800000
FILLER_254_839,VPWR,li1,394.2200,704.4800,1.800000
FILLER_254_832,VPWR,li1,389.6200,704.4800,1.800000
FILLER_254_820,VPWR,li1,385.4800,704.4800,1.800000
FILLER_254_808,VPWR,li1,379.9600,704.4800,1.800000
FILLER_254_796,VPWR,li1,374.4400,704.4800,1.800000
FILLER_254_789,VPWR,li1,369.8400,704.4800,1.800000
FILLER_254_777,VPWR,li1,365.7000,704.4800,1.800000
FILLER_254_765,VPWR,li1,360.1800,704.4800,1.800000
FILLER_254_753,VPWR,li1,354.6600,704.4800,1.800000
FILLER_254_746,VPWR,li1,350.0600,704.4800,1.800000
FILLER_254_734,VPWR,li1,345.9200,704.4800,1.800000
FILLER_254_722,VPWR,li1,340.4000,704.4800,1.800000
FILLER_254_710,VPWR,li1,334.8800,704.4800,1.800000
FILLER_254_703,VPWR,li1,330.2800,704.4800,1.800000
FILLER_254_691,VPWR,li1,326.1400,704.4800,1.800000
FILLER_254_679,VPWR,li1,320.6200,704.4800,1.800000
FILLER_254_667,VPWR,li1,315.1000,704.4800,1.800000
FILLER_254_660,VPWR,li1,310.5000,704.4800,1.800000
FILLER_254_648,VPWR,li1,306.3600,704.4800,1.800000
FILLER_254_636,VPWR,li1,300.8400,704.4800,1.800000
FILLER_254_624,VPWR,li1,295.3200,704.4800,1.800000
FILLER_254_617,VPWR,li1,290.7200,704.4800,1.800000
FILLER_254_605,VPWR,li1,286.5800,704.4800,1.800000
FILLER_254_593,VPWR,li1,281.0600,704.4800,1.800000
FILLER_254_581,VPWR,li1,275.5400,704.4800,1.800000
FILLER_254_574,VPWR,li1,270.9400,704.4800,1.800000
FILLER_254_562,VPWR,li1,266.8000,704.4800,1.800000
FILLER_254_550,VPWR,li1,261.2800,704.4800,1.800000
FILLER_254_538,VPWR,li1,255.7600,704.4800,1.800000
FILLER_254_531,VPWR,li1,251.1600,704.4800,1.800000
FILLER_254_519,VPWR,li1,247.0200,704.4800,1.800000
FILLER_254_507,VPWR,li1,241.5000,704.4800,1.800000
FILLER_254_495,VPWR,li1,235.9800,704.4800,1.800000
FILLER_254_488,VPWR,li1,231.3800,704.4800,1.800000
FILLER_254_476,VPWR,li1,227.2400,704.4800,1.800000
FILLER_254_464,VPWR,li1,221.7200,704.4800,1.800000
FILLER_254_452,VPWR,li1,216.2000,704.4800,1.800000
FILLER_254_445,VPWR,li1,211.6000,704.4800,1.800000
FILLER_254_433,VPWR,li1,207.4600,704.4800,1.800000
FILLER_254_421,VPWR,li1,201.9400,704.4800,1.800000
FILLER_254_409,VPWR,li1,196.4200,704.4800,1.800000
FILLER_254_402,VPWR,li1,191.8200,704.4800,1.800000
FILLER_254_390,VPWR,li1,187.6800,704.4800,1.800000
FILLER_254_378,VPWR,li1,182.1600,704.4800,1.800000
FILLER_254_366,VPWR,li1,176.6400,704.4800,1.800000
FILLER_254_359,VPWR,li1,172.0400,704.4800,1.800000
FILLER_254_347,VPWR,li1,167.9000,704.4800,1.800000
FILLER_254_335,VPWR,li1,162.3800,704.4800,1.800000
FILLER_254_323,VPWR,li1,156.8600,704.4800,1.800000
FILLER_254_316,VPWR,li1,152.2600,704.4800,1.800000
FILLER_254_304,VPWR,li1,148.1200,704.4800,1.800000
FILLER_254_292,VPWR,li1,142.6000,704.4800,1.800000
FILLER_254_280,VPWR,li1,137.0800,704.4800,1.800000
FILLER_254_273,VPWR,li1,132.4800,704.4800,1.800000
FILLER_254_261,VPWR,li1,128.3400,704.4800,1.800000
FILLER_254_249,VPWR,li1,122.8200,704.4800,1.800000
FILLER_254_237,VPWR,li1,117.3000,704.4800,1.800000
FILLER_254_230,VPWR,li1,112.7000,704.4800,1.800000
FILLER_254_218,VPWR,li1,108.5600,704.4800,1.800000
FILLER_254_206,VPWR,li1,103.0400,704.4800,1.800000
FILLER_254_194,VPWR,li1,97.5200,704.4800,1.800000
FILLER_254_187,VPWR,li1,92.9200,704.4800,1.800000
FILLER_254_175,VPWR,li1,88.7800,704.4800,1.800000
FILLER_254_163,VPWR,li1,83.2600,704.4800,1.800000
FILLER_254_151,VPWR,li1,77.7400,704.4800,1.800000
FILLER_254_144,VPWR,li1,73.1400,704.4800,1.800000
FILLER_254_132,VPWR,li1,69.0000,704.4800,1.800000
FILLER_254_120,VPWR,li1,63.4800,704.4800,1.800000
FILLER_254_108,VPWR,li1,57.9600,704.4800,1.800000
FILLER_254_101,VPWR,li1,53.3600,704.4800,1.800000
FILLER_254_89,VPWR,li1,49.2200,704.4800,1.800000
FILLER_254_77,VPWR,li1,43.7000,704.4800,1.800000
FILLER_254_65,VPWR,li1,38.1800,704.4800,1.800000
FILLER_254_58,VPWR,li1,33.5800,704.4800,1.800000
FILLER_254_46,VPWR,li1,29.4400,704.4800,1.800000
FILLER_254_34,VPWR,li1,23.9200,704.4800,1.800000
FILLER_254_22,VPWR,li1,18.4000,704.4800,1.800000
FILLER_254_15,VPWR,li1,13.8000,704.4800,1.800000
FILLER_254_3,VPWR,li1,9.6600,704.4800,1.800000
FILLER_253_1514,VPWR,li1,702.1900,699.0400,1.800000
FILLER_253_1506,VPWR,li1,700.1200,699.0400,1.800000
