net,length_um
net9,96.94µm
clknet_1_1__leaf_clk,42.54µm
_25_,41.08µm
clknet_1_0__leaf_clk,33.48µm
clknet_0_clk,33.1µm
_08_,30.44µm
clk,28.75µm
net12,26.2µm
net11,23.98µm
_19_,22.82µm
net14,21.16µm
net16,21µm
_15_,20.38µm
_20_,18.46µm
net15,17.42µm
_18_,17.24µm
_26_,17.02µm
_30_,16.98µm
_11_,16.685µm
_27_,16.555µm
_21_,14.535µm
_31_,14.46µm
_13_,14µm
net5,13.1µm
data_in[6],13.08µm
net3,12.88µm
data_in[0],11.23µm
acc[5],10.54µm
acc[6],10.54µm
data_in[5],10.32µm
_37_,10.08µm
net7,9.5µm
net13,9.48µm
acc[2],8.96µm
data_in[1],8.72µm
data_in[2],8.72µm
_39_,8.58µm
_10_,7.2µm
_17_,7.06µm
adder.high.sum\[1\],6.72µm
data_in[3],6.45µm
net1,6.14µm
_12_,5.915µm
acc[0],5.75µm
acc[3],5.75µm
acc[7],5.75µm
net4,5.6µm
net10,5.6µm
rst,5.41µm
_16_,5.38µm
_24_,5.38µm
data_in[7],5.29µm
net2,5.02µm
adder.low.sum\[2\],4.92µm
_36_,4.8µm
acc[1],4.73µm
_22_,4.68µm
net6,4.68µm
data_in[4],4.61µm
_35_,4.58µm
_02_,4.53µm
acc[4],4.39µm
_14_,4.11µm
_34_,4µm
net8,3.54µm
_32_,3.42µm
net17,3.3µm
adder.low.sum\[1\],3.08µm
_23_,3.06µm
adder.high.sum\[2\],2.64µm
_40_,2.62µm
adder.high.sum\[0\],2.62µm
_01_,2.38µm
_04_,2.38µm
_09_,2.3µm
_07_,2.23µm
_03_,2.21µm
_05_,2.21µm
adder.high.sum\[3\],2.18µm
adder.low.sum\[3\],2.18µm
_29_,2.04µm
_38_,2.04µm
_06_,1.82µm
_41_,1.72µm
adder.low.p\[0\],1.7µm
_28_,1.38µm
_33_,1.38µm
_00_,1.36µm
